venue_name,city,name_display_long,year
Chase Field,Phoenix,Arizona Diamondbacks,2016
SunTrust Park,Atlanta,Atlanta Braves,2016
Oriole Park at Camden Yards,Baltimore,Baltimore Orioles,2016
Fenway Park,Boston,Boston Red Sox,2016
Wrigley Field,Chicago,Chicago Cubs,2016
Guaranteed Rate Field,Chicago,Chicago White Sox,2016
Great American Ball Park,Cincinnati,Cincinnati Reds,2016
Progressive Field,Cleveland,Cleveland Indians,2016
Coors Field,Denver,Colorado Rockies,2016
Comerica Park,Detroit,Detroit Tigers,2016
Minute Maid Park,Houston,Houston Astros,2016
Kauffman Stadium,Kansas City,Kansas City Royals,2016
Angel Stadium of Anaheim,Anaheim,Los Angeles Angels of Anaheim,2016
Dodger Stadium,Los Angeles,Los Angeles Dodgers,2016
Marlins Park,Miami,Miami Marlins,2016
Miller Park,Milwaukee,Milwaukee Brewers,2016
Target Field,Minneapolis,Minnesota Twins,2016
Citi Field,New York,New York Mets,2016
Yankee Stadium,Bronx,New York Yankees,2016
Oakland Coliseum,Oakland,Oakland Athletics,2016
Citizens Bank Park,Philadelphia,Philadelphia Phillies,2016
PNC Park,Pittsburgh,Pittsburgh Pirates,2016
Petco Park,San Diego,San Diego Padres,2016
AT&T Park,San Francisco,San Francisco Giants,2016
Safeco Field,Seattle,Seattle Mariners,2016
Busch Stadium,St. Louis,St. Louis Cardinals,2016
Tropicana Field,Tampa Bay,Tampa Bay Rays,2016
Globe Life Park in Arlington,Arlington,Texas Rangers,2016
Rogers Centre,Toronto,Toronto Blue Jays,2016
Nationals Park,Washington,Washington Nationals,2016
